Pipeline,Completed,Intermediate,Failed,DM
ARPwARP.xlsxmrncs,1210,0,0,mrncs
ARPwARPAfterBuccaneeri1.xlsxmrncs,1201,7,3,mrncs
Buccaneer.xlsxmrncs,1208,0,2,mrncs
Buccaneeri2.xlsxmrncs,1198,3,10,mrncs
Buccaneeri2W.xlsxmrncs,1190,9,11,mrncs
Crank.xlsxmrncs,1102,97,12,mrncs
Phenix.xlsxmrncs,1087,82,29,mrncs
ARPwARP.xlsxnoncs,1201,9,0,noncs
ARPwARPAfterBuccaneeri1.xlsxnoncs,1199,9,3,noncs
Buccaneer.xlsxnoncs,1208,0,1,noncs
Buccaneeri2.xlsxnoncs,1200,3,8,noncs
Buccaneeri2W.xlsxnoncs,1167,31,11,noncs
Crank.xlsxnoncs,1081,118,12,noncs
Phenix.xlsxnoncs,934,192,42,noncs
Pipeline,Completed,Intermediate,Failed,DM
ARPwARP.xlsxhancs,1209,2,0,hancs
ARPwARPAfterBuccaneeri1.xlsxhancs,1207,0,4,hancs
Buccaneer.xlsxhancs,1207,1,2,hancs
Buccaneeri2.xlsxhancs,1209,1,1,hancs
Buccaneeri2W.xlsxhancs,1194,11,3,hancs
Crank.xlsxhancs,1103,96,12,hancs
Phenix.xlsxhancs,1080,77,34,hancs
ARPwARP.xlsxmrncs,1210,0,0,mrncs
ARPwARPAfterBuccaneeri1.xlsxmrncs,1201,7,3,mrncs
Buccaneer.xlsxmrncs,1208,0,2,mrncs
Buccaneeri2.xlsxmrncs,1198,3,10,mrncs
Buccaneeri2W.xlsxmrncs,1190,9,11,mrncs
Crank.xlsxmrncs,1102,97,12,mrncs
Phenix.xlsxmrncs,1087,82,29,mrncs
ARPwARP.xlsxnoncs,1201,9,0,noncs
ARPwARPAfterBuccaneeri1.xlsxnoncs,1199,9,3,noncs
Buccaneer.xlsxnoncs,1208,0,1,noncs
Buccaneeri2.xlsxnoncs,1200,3,8,noncs
Buccaneeri2W.xlsxnoncs,1167,31,11,noncs
Crank.xlsxnoncs,1081,118,12,noncs
Phenix.xlsxnoncs,934,192,42,noncs
Pipeline,Completed,Intermediate,Failed,DM
ARPwARP.xlsxhancs,1209,2,0,hancs
ARPwARPAfterBuccaneeri1.xlsxhancs,1207,0,4,hancs
Buccaneer.xlsxhancs,1207,1,2,hancs
Buccaneeri2.xlsxhancs,1209,1,1,hancs
Buccaneeri2W.xlsxhancs,1194,11,3,hancs
Crank.xlsxhancs,1103,96,12,hancs
Phenix.xlsxhancs,1080,77,34,hancs
ARPwARP.xlsxmrncs,1210,0,0,mrncs
ARPwARPAfterBuccaneeri1.xlsxmrncs,1201,7,3,mrncs
Buccaneer.xlsxmrncs,1208,0,2,mrncs
Buccaneeri2.xlsxmrncs,1198,3,10,mrncs
Buccaneeri2W.xlsxmrncs,1190,9,11,mrncs
Crank.xlsxmrncs,1102,97,12,mrncs
Phenix.xlsxmrncs,1087,82,29,mrncs
ARPwARP.xlsxnoncs,1201,9,0,noncs
ARPwARPAfterBuccaneeri1.xlsxnoncs,1199,9,3,noncs
Buccaneer.xlsxnoncs,1208,0,1,noncs
Buccaneeri2.xlsxnoncs,1200,3,8,noncs
Buccaneeri2W.xlsxnoncs,1167,31,11,noncs
Crank.xlsxnoncs,1081,118,12,noncs
Phenix.xlsxnoncs,934,192,42,noncs
Pipeline,Completed,Intermediate,Failed,DM
ARPwARP.xlsxhancs,1209,2,0,hancs
ARPwARPAfterBuccaneeri1.xlsxhancs,1207,0,4,hancs
Buccaneer.xlsxhancs,1207,1,2,hancs
Buccaneeri2.xlsxhancs,1209,1,1,hancs
Buccaneeri2W.xlsxhancs,1194,11,3,hancs
Crank.xlsxhancs,1103,96,12,hancs
Phenix.xlsxhancs,1080,77,34,hancs
ARPwARP.xlsxmrncs,1210,0,0,mrncs
ARPwARPAfterBuccaneeri1.xlsxmrncs,1201,7,3,mrncs
Buccaneer.xlsxmrncs,1208,0,2,mrncs
Buccaneeri2.xlsxmrncs,1198,3,10,mrncs
Buccaneeri2W.xlsxmrncs,1190,9,11,mrncs
Crank.xlsxmrncs,1102,97,12,mrncs
Phenix.xlsxmrncs,1087,82,29,mrncs
ARPwARP.xlsxnoncs,1201,9,0,noncs
ARPwARPAfterBuccaneeri1.xlsxnoncs,1199,9,3,noncs
Buccaneer.xlsxnoncs,1208,0,1,noncs
Buccaneeri2.xlsxnoncs,1200,3,8,noncs
Buccaneeri2W.xlsxnoncs,1167,31,11,noncs
Crank.xlsxnoncs,1081,118,12,noncs
Phenix.xlsxnoncs,934,192,42,noncs
Pipeline,Completed,Intermediate,Failed,DM
ARPwARP.xlsxhancs,1209,2,0,hancs
ARPwARPAfterBuccaneeri1.xlsxhancs,1207,0,4,hancs
Buccaneer.xlsxhancs,1207,1,2,hancs
Buccaneeri2.xlsxhancs,1209,1,1,hancs
Buccaneeri2W.xlsxhancs,1194,11,3,hancs
Crank.xlsxhancs,1103,96,12,hancs
Phenix.xlsxhancs,1080,77,34,hancs
ARPwARP.xlsxmrncs,1210,0,0,mrncs
ARPwARPAfterBuccaneeri1.xlsxmrncs,1201,7,3,mrncs
Buccaneer.xlsxmrncs,1208,0,2,mrncs
Buccaneeri2.xlsxmrncs,1198,3,10,mrncs
Buccaneeri2W.xlsxmrncs,1190,9,11,mrncs
Crank.xlsxmrncs,1102,97,12,mrncs
Phenix.xlsxmrncs,1087,82,29,mrncs
ARPwARP.xlsxnoncs,1201,9,0,noncs
ARPwARPAfterBuccaneeri1.xlsxnoncs,1199,9,3,noncs
Buccaneer.xlsxnoncs,1208,0,1,noncs
Buccaneeri2.xlsxnoncs,1200,3,8,noncs
Buccaneeri2W.xlsxnoncs,1167,31,11,noncs
Crank.xlsxnoncs,1081,118,12,noncs
Phenix.xlsxnoncs,934,192,42,noncs
Pipeline,Completed,Intermediate,Failed,DM
ARPwARP.xlsxhancs,1209,2,0,hancs
ARPwARPAfterBuccaneeri1.xlsxhancs,1207,0,4,hancs
Buccaneer.xlsxhancs,1207,1,2,hancs
Buccaneeri2.xlsxhancs,1209,1,1,hancs
Buccaneeri2W.xlsxhancs,1194,11,3,hancs
Crank.xlsxhancs,1103,96,12,hancs
Phenix.xlsxhancs,1080,77,34,hancs
ARPwARP.xlsxmrncs,1210,0,0,mrncs
ARPwARPAfterBuccaneeri1.xlsxmrncs,1201,7,3,mrncs
Buccaneer.xlsxmrncs,1208,0,2,mrncs
Buccaneeri2.xlsxmrncs,1198,3,10,mrncs
Buccaneeri2W.xlsxmrncs,1190,9,11,mrncs
Crank.xlsxmrncs,1102,97,12,mrncs
Phenix.xlsxmrncs,1087,82,29,mrncs
ARPwARP.xlsxnoncs,1201,9,0,noncs
ARPwARPAfterBuccaneeri1.xlsxnoncs,1199,9,3,noncs
Buccaneer.xlsxnoncs,1208,0,1,noncs
Buccaneeri2.xlsxnoncs,1200,3,8,noncs
Buccaneeri2W.xlsxnoncs,1167,31,11,noncs
Crank.xlsxnoncs,1081,118,12,noncs
Phenix.xlsxnoncs,934,192,42,noncs
Pipeline,Completed,Intermediate,Failed,DM
ARPwARP.xlsxhancs,1209,2,0,hancs
ARPwARPAfterBuccaneeri1.xlsxhancs,1207,0,4,hancs
Buccaneer.xlsxhancs,1207,1,2,hancs
Buccaneeri2.xlsxhancs,1209,1,1,hancs
Buccaneeri2W.xlsxhancs,1194,11,3,hancs
Crank.xlsxhancs,1103,96,12,hancs
Phenix.xlsxhancs,1080,77,34,hancs
ARPwARP.xlsxmrncs,1210,0,0,mrncs
ARPwARPAfterBuccaneeri1.xlsxmrncs,1201,7,3,mrncs
Buccaneer.xlsxmrncs,1208,0,2,mrncs
Buccaneeri2.xlsxmrncs,1198,3,10,mrncs
Buccaneeri2W.xlsxmrncs,1190,9,11,mrncs
Crank.xlsxmrncs,1102,97,12,mrncs
Phenix.xlsxmrncs,1087,82,29,mrncs
ARPwARP.xlsxnoncs,1201,9,0,noncs
ARPwARPAfterBuccaneeri1.xlsxnoncs,1199,9,3,noncs
Buccaneer.xlsxnoncs,1208,0,1,noncs
Buccaneeri2.xlsxnoncs,1200,3,8,noncs
Buccaneeri2W.xlsxnoncs,1167,31,11,noncs
Crank.xlsxnoncs,1081,118,12,noncs
Phenix.xlsxnoncs,934,192,42,noncs
Pipeline,Completed,Intermediate,Failed,DM
ARPwARP.xlsxhancs,1209,2,0,hancs
ARPwARPAfterBuccaneeri1.xlsxhancs,1207,0,4,hancs
Buccaneer.xlsxhancs,1207,1,2,hancs
Buccaneeri2.xlsxhancs,1209,1,1,hancs
Buccaneeri2W.xlsxhancs,1194,11,3,hancs
Crank.xlsxhancs,1103,96,12,hancs
Phenix.xlsxhancs,1080,77,34,hancs
ARPwARP.xlsxmrncs,1210,0,0,mrncs
ARPwARPAfterBuccaneeri1.xlsxmrncs,1201,7,3,mrncs
Buccaneer.xlsxmrncs,1208,0,2,mrncs
Buccaneeri2.xlsxmrncs,1198,3,10,mrncs
Buccaneeri2W.xlsxmrncs,1190,9,11,mrncs
Crank.xlsxmrncs,1102,97,12,mrncs
Phenix.xlsxmrncs,1087,82,29,mrncs
ARPwARP.xlsxnoncs,1201,9,0,noncs
ARPwARPAfterBuccaneeri1.xlsxnoncs,1199,9,3,noncs
Buccaneer.xlsxnoncs,1208,0,1,noncs
Buccaneeri2.xlsxnoncs,1200,3,8,noncs
Buccaneeri2W.xlsxnoncs,1167,31,11,noncs
Crank.xlsxnoncs,1081,118,12,noncs
Phenix.xlsxnoncs,934,192,42,noncs
Pipeline,Completed,Intermediate,Failed,DM
ARPwARP.xlsxhancs,1209,2,0,hancs
ARPwARPAfterBuccaneeri1.xlsxhancs,1207,0,4,hancs
Buccaneer.xlsxhancs,1207,1,2,hancs
Buccaneeri2.xlsxhancs,1209,1,1,hancs
Buccaneeri2W.xlsxhancs,1194,11,3,hancs
Crank.xlsxhancs,1103,96,12,hancs
Phenix.xlsxhancs,1080,77,34,hancs
ARPwARP.xlsxmrncs,1210,0,0,mrncs
ARPwARPAfterBuccaneeri1.xlsxmrncs,1201,7,3,mrncs
Buccaneer.xlsxmrncs,1208,0,2,mrncs
Buccaneeri2.xlsxmrncs,1198,3,10,mrncs
Buccaneeri2W.xlsxmrncs,1190,9,11,mrncs
Crank.xlsxmrncs,1102,97,12,mrncs
Phenix.xlsxmrncs,1087,82,29,mrncs
ARPwARP.xlsxnoncs,1201,9,0,noncs
ARPwARPAfterBuccaneeri1.xlsxnoncs,1199,9,3,noncs
Buccaneer.xlsxnoncs,1208,0,1,noncs
Buccaneeri2.xlsxnoncs,1200,3,8,noncs
Buccaneeri2W.xlsxnoncs,1167,31,11,noncs
Crank.xlsxnoncs,1081,118,12,noncs
Phenix.xlsxnoncs,934,192,42,noncs
Pipeline,Completed,Intermediate,Failed,DM
ARPwARP.xlsxhancs,1209,2,0,hancs
ARPwARPAfterBuccaneeri1.xlsxhancs,1207,0,4,hancs
Buccaneer.xlsxhancs,1207,1,2,hancs
Buccaneeri2.xlsxhancs,1209,1,1,hancs
Buccaneeri2W.xlsxhancs,1194,11,3,hancs
Crank.xlsxhancs,1103,96,12,hancs
Phenix.xlsxhancs,1080,77,34,hancs
ARPwARP.xlsxmrncs,1210,0,0,mrncs
ARPwARPAfterBuccaneeri1.xlsxmrncs,1201,7,3,mrncs
Buccaneer.xlsxmrncs,1208,0,2,mrncs
Buccaneeri2.xlsxmrncs,1198,3,10,mrncs
Buccaneeri2W.xlsxmrncs,1190,9,11,mrncs
Crank.xlsxmrncs,1102,97,12,mrncs
Phenix.xlsxmrncs,1087,82,29,mrncs
ARPwARP.xlsxnoncs,1201,9,0,noncs
ARPwARPAfterBuccaneeri1.xlsxnoncs,1199,9,3,noncs
Buccaneer.xlsxnoncs,1208,0,1,noncs
Buccaneeri2.xlsxnoncs,1200,3,8,noncs
Buccaneeri2W.xlsxnoncs,1167,31,11,noncs
Crank.xlsxnoncs,1081,118,12,noncs
Phenix.xlsxnoncs,934,192,42,noncs
Pipeline,Completed,Intermediate,Failed,DM
ARPwARP.xlsxhancs,1209,2,0,hancs
ARPwARPAfterBuccaneeri1.xlsxhancs,1207,0,4,hancs
Buccaneer.xlsxhancs,1207,1,2,hancs
Buccaneeri2.xlsxhancs,1209,1,1,hancs
Buccaneeri2W.xlsxhancs,1194,11,3,hancs
Crank.xlsxhancs,1103,96,12,hancs
Phenix.xlsxhancs,1080,77,34,hancs
ARPwARP.xlsxmrncs,1210,0,0,mrncs
ARPwARPAfterBuccaneeri1.xlsxmrncs,1201,7,3,mrncs
Buccaneer.xlsxmrncs,1208,0,2,mrncs
Buccaneeri2.xlsxmrncs,1198,3,10,mrncs
Buccaneeri2W.xlsxmrncs,1190,9,11,mrncs
Crank.xlsxmrncs,1102,97,12,mrncs
Phenix.xlsxmrncs,1087,82,29,mrncs
ARPwARP.xlsxnoncs,1201,9,0,noncs
ARPwARPAfterBuccaneeri1.xlsxnoncs,1199,9,3,noncs
Buccaneer.xlsxnoncs,1208,0,1,noncs
Buccaneeri2.xlsxnoncs,1200,3,8,noncs
Buccaneeri2W.xlsxnoncs,1167,31,11,noncs
Crank.xlsxnoncs,1081,118,12,noncs
Phenix.xlsxnoncs,934,192,42,noncs
Pipeline,Completed,Intermediate,Failed,DM
ARPwARP.xlsxhancs,1209,2,0,hancs
ARPwARPAfterBuccaneeri1.xlsxhancs,1207,0,4,hancs
Buccaneer.xlsxhancs,1207,1,2,hancs
Buccaneeri2.xlsxhancs,1209,1,1,hancs
Buccaneeri2W.xlsxhancs,1194,11,3,hancs
Crank.xlsxhancs,1103,96,12,hancs
Phenix.xlsxhancs,1080,77,34,hancs
ARPwARP.xlsxmrncs,1210,0,0,mrncs
ARPwARPAfterBuccaneeri1.xlsxmrncs,1201,7,3,mrncs
Buccaneer.xlsxmrncs,1208,0,2,mrncs
Buccaneeri2.xlsxmrncs,1198,3,10,mrncs
Buccaneeri2W.xlsxmrncs,1190,9,11,mrncs
Crank.xlsxmrncs,1102,97,12,mrncs
Phenix.xlsxmrncs,1087,82,29,mrncs
ARPwARP.xlsxnoncs,1201,9,0,noncs
ARPwARPAfterBuccaneeri1.xlsxnoncs,1199,9,3,noncs
Buccaneer.xlsxnoncs,1208,0,1,noncs
Buccaneeri2.xlsxnoncs,1200,3,8,noncs
Buccaneeri2W.xlsxnoncs,1167,31,11,noncs
Crank.xlsxnoncs,1081,118,12,noncs
Phenix.xlsxnoncs,934,192,42,noncs
Pipeline,Completed,Intermediate,Failed,DM
ARPwARP.xlsxhancs,1209,2,0,hancs
ARPwARPAfterBuccaneeri1.xlsxhancs,1207,0,4,hancs
Buccaneer.xlsxhancs,1207,1,2,hancs
Buccaneeri2.xlsxhancs,1209,1,1,hancs
Buccaneeri2W.xlsxhancs,1194,11,3,hancs
Crank.xlsxhancs,1103,96,12,hancs
Phenix.xlsxhancs,1080,77,34,hancs
ARPwARP.xlsxmrncs,1210,0,0,mrncs
ARPwARPAfterBuccaneeri1.xlsxmrncs,1201,7,3,mrncs
Buccaneer.xlsxmrncs,1208,0,2,mrncs
Buccaneeri2.xlsxmrncs,1198,3,10,mrncs
Buccaneeri2W.xlsxmrncs,1190,9,11,mrncs
Crank.xlsxmrncs,1102,97,12,mrncs
Phenix.xlsxmrncs,1087,82,29,mrncs
ARPwARP.xlsxnoncs,1201,9,0,noncs
ARPwARPAfterBuccaneeri1.xlsxnoncs,1199,9,3,noncs
Buccaneer.xlsxnoncs,1208,0,1,noncs
Buccaneeri2.xlsxnoncs,1200,3,8,noncs
Buccaneeri2W.xlsxnoncs,1167,31,11,noncs
Crank.xlsxnoncs,1081,118,12,noncs
Phenix.xlsxnoncs,934,192,42,noncs
Pipeline,Completed,Intermediate,Failed,DM
ARPwARP.xlsxhancs,1209,2,0,hancs
ARPwARPAfterBuccaneeri1.xlsxhancs,1207,0,4,hancs
Buccaneer.xlsxhancs,1207,1,2,hancs
Buccaneeri2.xlsxhancs,1209,1,1,hancs
Buccaneeri2W.xlsxhancs,1194,11,3,hancs
Crank.xlsxhancs,1103,96,12,hancs
Phenix.xlsxhancs,1080,77,34,hancs
ARPwARP.xlsxmrncs,1210,0,0,mrncs
ARPwARPAfterBuccaneeri1.xlsxmrncs,1201,7,3,mrncs
Buccaneer.xlsxmrncs,1208,0,2,mrncs
Buccaneeri2.xlsxmrncs,1198,3,10,mrncs
Buccaneeri2W.xlsxmrncs,1190,9,11,mrncs
Crank.xlsxmrncs,1102,97,12,mrncs
Phenix.xlsxmrncs,1087,82,29,mrncs
ARPwARP.xlsxnoncs,1201,9,0,noncs
ARPwARPAfterBuccaneeri1.xlsxnoncs,1199,9,3,noncs
Buccaneer.xlsxnoncs,1208,0,1,noncs
Buccaneeri2.xlsxnoncs,1200,3,8,noncs
Buccaneeri2W.xlsxnoncs,1167,31,11,noncs
Crank.xlsxnoncs,1081,118,12,noncs
Phenix.xlsxnoncs,934,192,42,noncs
Pipeline,Completed,Intermediate,Failed,DM
ARPwARP.xlsxhancs,1209,2,0,hancs
ARPwARPAfterBuccaneeri1.xlsxhancs,1207,0,4,hancs
Buccaneer.xlsxhancs,1207,1,2,hancs
Buccaneeri2.xlsxhancs,1209,1,1,hancs
Buccaneeri2W.xlsxhancs,1194,11,3,hancs
Crank.xlsxhancs,1103,96,12,hancs
Phenix.xlsxhancs,1080,77,34,hancs
ARPwARP.xlsxmrncs,1210,0,0,mrncs
ARPwARPAfterBuccaneeri1.xlsxmrncs,1201,7,3,mrncs
Buccaneer.xlsxmrncs,1208,0,2,mrncs
Buccaneeri2.xlsxmrncs,1198,3,10,mrncs
Buccaneeri2W.xlsxmrncs,1190,9,11,mrncs
Crank.xlsxmrncs,1102,97,12,mrncs
Phenix.xlsxmrncs,1087,82,29,mrncs
ARPwARP.xlsxnoncs,1201,9,0,noncs
ARPwARPAfterBuccaneeri1.xlsxnoncs,1199,9,3,noncs
Buccaneer.xlsxnoncs,1208,0,1,noncs
Buccaneeri2.xlsxnoncs,1200,3,8,noncs
Buccaneeri2W.xlsxnoncs,1167,31,11,noncs
Crank.xlsxnoncs,1081,118,12,noncs
Phenix.xlsxnoncs,934,192,42,noncs
Pipeline,Completed,Intermediate,Failed,DM
ARPwARP.xlsxhancs,1209,2,0,hancs
ARPwARPAfterBuccaneeri1.xlsxhancs,1207,0,4,hancs
Buccaneer.xlsxhancs,1207,1,2,hancs
Buccaneeri2.xlsxhancs,1209,1,1,hancs
Buccaneeri2W.xlsxhancs,1194,11,3,hancs
Crank.xlsxhancs,1103,96,12,hancs
Phenix.xlsxhancs,1080,77,34,hancs
ARPwARP.xlsxmrncs,1210,0,0,mrncs
ARPwARPAfterBuccaneeri1.xlsxmrncs,1201,7,3,mrncs
Buccaneer.xlsxmrncs,1208,0,2,mrncs
Buccaneeri2.xlsxmrncs,1198,3,10,mrncs
Buccaneeri2W.xlsxmrncs,1190,9,11,mrncs
Crank.xlsxmrncs,1102,97,12,mrncs
Phenix.xlsxmrncs,1087,82,29,mrncs
ARPwARP.xlsxnoncs,1201,9,0,noncs
ARPwARPAfterBuccaneeri1.xlsxnoncs,1199,9,3,noncs
Buccaneer.xlsxnoncs,1208,0,1,noncs
Buccaneeri2.xlsxnoncs,1200,3,8,noncs
Buccaneeri2W.xlsxnoncs,1167,31,11,noncs
Crank.xlsxnoncs,1081,118,12,noncs
Phenix.xlsxnoncs,934,192,42,noncs
Pipeline,Completed,Intermediate,Failed,DM
ARPwARP.xlsxhancs,1209,2,0,hancs
ARPwARPAfterBuccaneeri1.xlsxhancs,1207,0,4,hancs
Buccaneer.xlsxhancs,1207,1,2,hancs
Buccaneeri2.xlsxhancs,1209,1,1,hancs
Buccaneeri2W.xlsxhancs,1194,11,3,hancs
Crank.xlsxhancs,1103,96,12,hancs
Phenix.xlsxhancs,1080,77,34,hancs
ARPwARP.xlsxmrncs,1210,0,0,mrncs
ARPwARPAfterBuccaneeri1.xlsxmrncs,1201,7,3,mrncs
Buccaneer.xlsxmrncs,1208,0,2,mrncs
Buccaneeri2.xlsxmrncs,1198,3,10,mrncs
Buccaneeri2W.xlsxmrncs,1190,9,11,mrncs
Crank.xlsxmrncs,1102,97,12,mrncs
Phenix.xlsxmrncs,1087,82,29,mrncs
ARPwARP.xlsxnoncs,1201,9,0,noncs
ARPwARPAfterBuccaneeri1.xlsxnoncs,1199,9,3,noncs
Buccaneer.xlsxnoncs,1208,0,1,noncs
Buccaneeri2.xlsxnoncs,1200,3,8,noncs
Buccaneeri2W.xlsxnoncs,1167,31,11,noncs
Crank.xlsxnoncs,1081,118,12,noncs
Phenix.xlsxnoncs,934,192,42,noncs
Pipeline,Completed,Intermediate,Failed,DM
ARPwARP.xlsxhancs,1209,2,0,hancs
ARPwARPAfterBuccaneeri1.xlsxhancs,1207,0,4,hancs
Buccaneer.xlsxhancs,1207,1,2,hancs
Buccaneeri2.xlsxhancs,1209,1,1,hancs
Buccaneeri2W.xlsxhancs,1194,11,3,hancs
Crank.xlsxhancs,1103,96,12,hancs
Phenix.xlsxhancs,1080,77,34,hancs
ARPwARP.xlsxmrncs,1210,0,0,mrncs
ARPwARPAfterBuccaneeri1.xlsxmrncs,1201,7,3,mrncs
Buccaneer.xlsxmrncs,1208,0,2,mrncs
Buccaneeri2.xlsxmrncs,1198,3,10,mrncs
Buccaneeri2W.xlsxmrncs,1190,9,11,mrncs
Crank.xlsxmrncs,1102,97,12,mrncs
Phenix.xlsxmrncs,1087,82,29,mrncs
ARPwARP.xlsxnoncs,1201,9,0,noncs
ARPwARPAfterBuccaneeri1.xlsxnoncs,1199,9,3,noncs
Buccaneer.xlsxnoncs,1208,0,1,noncs
Buccaneeri2.xlsxnoncs,1200,3,8,noncs
Buccaneeri2W.xlsxnoncs,1167,31,11,noncs
Crank.xlsxnoncs,1081,118,12,noncs
Phenix.xlsxnoncs,934,192,42,noncs
Pipeline,Completed,Intermediate,Failed,DM
ARPwARP.xlsxhancs,1209,2,0,hancs
ARPwARPAfterBuccaneeri1.xlsxhancs,1207,0,4,hancs
Buccaneer.xlsxhancs,1207,1,2,hancs
Buccaneeri2.xlsxhancs,1209,1,1,hancs
Buccaneeri2W.xlsxhancs,1194,11,3,hancs
Crank.xlsxhancs,1103,96,12,hancs
Phenix.xlsxhancs,1080,77,34,hancs
ARPwARP.xlsxmrncs,1210,0,0,mrncs
ARPwARPAfterBuccaneeri1.xlsxmrncs,1201,7,3,mrncs
Buccaneer.xlsxmrncs,1208,0,2,mrncs
Buccaneeri2.xlsxmrncs,1198,3,10,mrncs
Buccaneeri2W.xlsxmrncs,1190,9,11,mrncs
Crank.xlsxmrncs,1102,97,12,mrncs
Phenix.xlsxmrncs,1087,82,29,mrncs
ARPwARP.xlsxnoncs,1201,9,0,noncs
